iterations,fitness,time,fevals
0,41.0,0.033573507,2234751
100,40.0,0.060216149,2241696
200,41.0,0.095634664,2248708
300,41.0,0.120939118,2255689
400,39.0,0.156893232,2262693
500,40.0,0.177331648,2269706
600,41.0,0.212297544,2276694
700,41.0,0.226497961,2283705
800,39.0,0.238647665,2290699
900,39.0,0.252284552,2297663
1000,39.0,0.271760665,2304650
1100,40.0,0.290798329,2311570
1200,38.0,0.326957548,2318527
1300,39.0,0.432071993,2325499
1400,40.0,0.508860903,2332501
1500,40.0,0.537981079,2339458
1600,40.0,0.557482009,2346482
1700,39.0,0.593835461,2353462
1800,39.0,0.610118625,2360442
1900,39.0,0.638899492,2367379
2000,38.0,0.679653482,2374338
2100,39.0,0.701007618,2381331
2200,40.0,0.715334749,2388323
2300,40.0,0.727174146,2395310
2400,39.0,0.740008739,2402236
2500,38.0,0.757083814,2409216
2600,39.0,0.769687142,2416210
2700,38.0,0.781529442,2423166
2800,39.0,0.799232056,2430173
2900,37.0,0.812494194,2437127
3000,39.0,0.824691031,2444068
3100,39.0,0.836495517,2451056
3200,39.0,0.8800629,2458031
3300,39.0,0.931689111,2464982
3400,39.0,0.958998298,2471965
3500,39.0,0.975424345,2478984
3600,37.0,0.997110477,2485972
3700,39.0,1.015348829,2492870
3800,39.0,1.031224752,2499812
3900,38.0,1.054427736,2506777
4000,39.0,1.10370521,2513792
4100,38.0,1.134325509,2520798
4200,40.0,1.1555764,2527718
4300,39.0,1.171588614,2534704
4400,39.0,1.203303922,2541664
4500,38.0,1.229175163,2548663
4600,38.0,1.262259063,2555678
4700,39.0,1.278297956,2562694
4800,40.0,1.29276948,2569633
4900,39.0,1.31586825,2576602
5000,39.0,1.330839569,2583541
