iterations, fitness, time, fevals
0,43.0,0.050298735,7641338
100,43.0,0.097280205,7661538
200,43.0,0.153407772,7681738
300,43.0,0.195343875,7701938
400,43.0,0.241753504,7722138
500,43.0,0.289834067,7742338
600,43.0,0.339452473,7762538
700,43.0,0.397067959,7782738
800,43.0,0.453252533,7802938
900,43.0,0.494991791,7823138
1000,43.0,0.539813137,7843338
1100,43.0,0.584406603,7863538
1200,43.0,0.632929333,7883738
1300,43.0,0.671133868,7903938
1400,43.0,0.715151365,7924138
1500,43.0,0.760043172,7944338
1600,43.0,0.798821965,7964538
1700,43.0,0.844727794,7984738
1800,43.0,0.890789947,8004938
1900,43.0,0.935243421,8025138
2000,43.0,0.976515029,8045338
2100,43.0,1.02096031,8065538
2200,43.0,1.0658187,8085738
2300,43.0,1.124593128,8105938
2400,43.0,1.163566554,8126138
2500,43.0,1.210280739,8146338
2600,43.0,1.261740573,8166538
2700,43.0,1.30967213,8186738
2800,43.0,1.356622083,8206938
2900,43.0,1.405019174,8227138
3000,43.0,1.450105852,8247338
3100,43.0,1.488758707,8267538
3200,43.0,1.532437129,8287738
3300,43.0,1.580508681,8307938
3400,43.0,1.620597388,8328138
3500,43.0,1.66521966,8348338
3600,43.0,1.714249198,8368538
3700,43.0,1.759365117,8388738
3800,43.0,1.797334906,8408938
3900,43.0,1.843165532,8429138
4000,43.0,1.889746071,8449338
4100,43.0,1.93584434,8469538
4200,43.0,1.974068439,8489738
4300,43.0,2.018252265,8509938
4400,43.0,2.065085955,8530138
4500,43.0,2.118890897,8550338
4600,43.0,2.161589083,8570538
4700,43.0,2.20534503,8590738
4800,43.0,2.250271929,8610938
4900,43.0,2.295175169,8631138
5000,43.0,2.334840721,8651338
