iterations, fitness, time, fevals
0,44.0,0.00040444,5202
100,44.0,0.000727004,5302
200,44.0,0.001067658,5402
300,44.0,0.001321217,5502
400,44.0,0.001666739,5602
500,44.0,0.001981805,5702
600,44.0,0.002281769,5802
700,44.0,0.002584267,5902
800,44.0,0.00289181,6002
900,44.0,0.003220363,6102
1000,44.0,0.003433758,6202
1100,44.0,0.004678021,6302
1200,44.0,0.005003678,6402
1300,44.0,0.00577627,6502
1400,44.0,0.006287558,6602
1500,44.0,0.007449198,6702
1600,44.0,0.007735292,6802
1700,44.0,0.008249339,6902
1800,44.0,0.008572974,7002
1900,44.0,0.008864816,7102
2000,44.0,0.009223799,7202
2100,44.0,0.009492165,7302
2200,44.0,0.009812486,7402
2300,44.0,0.010285586,7502
2400,44.0,0.010549005,7602
2500,44.0,0.010863195,7702
2600,44.0,0.011119359,7802
2700,44.0,0.011549409,7902
2800,44.0,0.011832683,8002
2900,44.0,0.012133123,8102
3000,44.0,0.012402874,8202
3100,44.0,0.012652622,8302
3200,44.0,0.013030334,8402
3300,44.0,0.0140512,8502
3400,44.0,0.014427409,8602
3500,44.0,0.014743564,8702
3600,44.0,0.015009796,8802
3700,44.0,0.015565768,8902
3800,44.0,0.015826488,9002
3900,44.0,0.01608254,9102
4000,44.0,0.016344893,9202
4100,44.0,0.016625018,9302
4200,44.0,0.021192036,9402
4300,44.0,0.021548759,9502
4400,44.0,0.021958245,9602
4500,44.0,0.02224739,9702
4600,44.0,0.022507824,9802
4700,44.0,0.022968724,9902
4800,44.0,0.023437198,10002
4900,44.0,0.023990112,10102
5000,44.0,0.024319435,10202
