iterations,fitness,time,fevals
0,44.0,0.000334936,35808
100,44.0,0.000616521,35908
200,44.0,0.002741807,36008
300,45.0,0.003041617,36108
400,45.0,0.003301742,36208
500,45.0,0.003504692,36308
600,45.0,0.003812338,36408
700,45.0,0.004185353,36508
800,45.0,0.004540653,36608
900,45.0,0.004835016,36708
1000,45.0,0.00514363,36808
1100,45.0,0.00560185,36908
1200,45.0,0.005906484,37008
1300,45.0,0.006250191,37108
1400,45.0,0.006548504,37208
1500,45.0,0.006864863,37308
1600,45.0,0.007102459,37408
1700,45.0,0.007376191,37508
1800,45.0,0.007790799,37608
1900,45.0,0.008073141,37708
2000,45.0,0.00837266,37808
2100,45.0,0.008657627,37908
2200,45.0,0.008919582,38008
2300,45.0,0.00929197,38108
2400,45.0,0.010000866,38208
2500,45.0,0.010349486,38308
2600,45.0,0.010718499,38408
2700,45.0,0.0111539,38508
2800,45.0,0.011606428,38608
2900,45.0,0.011993971,38708
3000,45.0,0.012726554,38808
3100,45.0,0.013202177,38908
3200,45.0,0.01379607,39008
3300,45.0,0.017536949,39108
3400,45.0,0.017890507,39208
3500,45.0,0.018324461,39308
3600,45.0,0.018580749,39408
3700,45.0,0.018879705,39508
3800,45.0,0.019132792,39608
3900,45.0,0.019488288,39708
4000,45.0,0.019744773,39808
4100,45.0,0.019998414,39908
4200,45.0,0.020253611,40008
4300,45.0,0.020631299,40108
4400,45.0,0.020923964,40208
4500,45.0,0.021174571,40308
4600,45.0,0.021532658,40408
4700,45.0,0.021772286,40508
4800,45.0,0.022172214,40608
4900,45.0,0.022453502,40708
5000,45.0,0.022722292,40808
