iterations,fitness,time,fevals
0,62.0,0.044474341,4923
100,69.0,0.06239199,9747
200,72.0,0.089898999,14577
300,73.0,0.111990866,19415
400,73.0,0.145900206,24243
500,74.0,0.15888442,29105
600,80.0,0.168378682,33931
700,77.0,0.176762016,38751
800,82.0,0.192356739,43568
900,78.0,0.209612837,48426
1000,76.0,0.223759244,53293
1100,82.0,0.236011381,58127
1200,80.0,0.26586971,62957
1300,82.0,0.302565355,67833
1400,79.0,0.332731727,72612
1500,80.0,0.364121288,77408
1600,79.0,0.377463475,82252
1700,79.0,0.387910903,87090
1800,82.0,0.398430817,91910
1900,81.0,0.414705848,96744
2000,78.0,0.432808583,101583
2100,83.0,0.449109921,106447
2200,86.0,0.464594205,111252
2300,83.0,0.480508021,116048
2400,78.0,0.494794142,120874
2500,81.0,0.516891668,125665
2600,85.0,0.539008815,130487
2700,80.0,0.568058299,135299
2800,83.0,0.604764024,140099
2900,85.0,0.619113459,144895
3000,84.0,0.635473982,149697
3100,79.0,0.646603672,154509
3200,81.0,0.659452211,159362
3300,82.0,0.674291164,164197
3400,80.0,0.685717734,169013
3500,83.0,0.697732402,173824
3600,83.0,0.711661054,178628
3700,83.0,0.722099191,183436
3800,85.0,0.734718412,188247
3900,85.0,0.753189709,193040
4000,82.0,0.772022226,197865
4100,86.0,0.788966028,202690
4200,84.0,0.815511177,207515
4300,86.0,0.841284564,212359
4400,86.0,0.864809606,217166
4500,82.0,0.893002149,222011
4600,81.0,0.913782797,226820
4700,81.0,0.929112763,231595
4800,75.0,0.941218071,236398
4900,78.0,0.953490254,241206
5000,79.0,0.969896208,246022
5100,82.0,0.983717997,250805
5200,81.0,1.001679766,255636
5300,78.0,1.014330476,260443
5400,79.0,1.024012146,265306
5500,84.0,1.033256309,270126
5600,84.0,1.045806346,274963
5700,87.0,1.053746956,279766
5800,84.0,1.06331276,284593
5900,90.0,1.075894778,289424
6000,87.0,1.086350873,294247
6100,82.0,1.099375368,299079
6200,83.0,1.118431437,303900
6300,86.0,1.128379944,308759
6400,89.0,1.14022308,313581
6500,89.0,1.148055111,318422
6600,86.0,1.161913184,323228
6700,90.0,1.171394389,328040
6800,90.0,1.181393325,332845
6900,88.0,1.192791052,337646
7000,87.0,1.203542227,342473
7100,87.0,1.21376622,347257
7200,91.0,1.222878173,352143
7300,89.0,1.236851056,356984
7400,86.0,1.248188917,361802
7500,85.0,1.258408336,366614
7600,85.0,1.267529659,371420
7700,86.0,1.276708989,376256
7800,89.0,1.287655637,381055
7900,83.0,1.298911477,385862
8000,89.0,1.317374846,390686
8100,89.0,1.33660826,395497
8200,86.0,1.353253935,400272
8300,92.0,1.368427202,405098
8400,86.0,1.382430504,409951
8500,87.0,1.40115392,414760
8600,87.0,1.419151525,419582
8700,86.0,1.434668689,424396
8800,89.0,1.453175861,429204
8900,87.0,1.47168198,434027
9000,82.0,1.484626541,438835
