iterations, fitness, time, fevals
0,84.0,0.337727995,782650
100,84.0,0.626439294,792750
200,84.0,0.926600175,802850
300,83.0,1.219713617,812950
400,83.0,1.511849773,823050
500,83.0,1.794915153,833150
600,83.0,2.086809442,843250
700,83.0,2.379799151,853350
800,83.0,2.685295091,863450
900,83.0,2.984527643,873550
1000,82.0,3.269105702,883650
1100,82.0,3.5685312,893750
1200,82.0,3.854094818,903850
1300,82.0,4.137486997,913950
1400,82.0,4.419746192,924050
1500,82.0,4.712146451,934150
1600,82.0,4.995281727,944250
1700,81.0,5.290380166,954350
1800,81.0,5.576149493,964450
1900,81.0,5.860419747,974550
2000,81.0,6.15830989,984650
2100,81.0,6.450733474,994750
2200,81.0,6.751735885,1004850
2300,81.0,7.042308663,1014950
2400,81.0,7.328553788,1025050
2500,81.0,7.619206344,1035150
2600,81.0,7.909569617,1045250
2700,81.0,8.194981362,1055350
2800,81.0,8.504119388,1065450
2900,81.0,8.798852809,1075550
3000,81.0,9.093130196,1085650
3100,81.0,9.4115355,1095750
3200,81.0,9.702768829,1105850
3300,81.0,10.014590127,1115950
3400,81.0,10.314517125,1126050
3500,81.0,10.606439896,1136150
3600,81.0,10.907469431,1146250
3700,81.0,11.225615625,1156350
3800,81.0,11.529951816,1166450
3900,81.0,11.829488815,1176550
4000,81.0,12.143166754,1186650
4100,81.0,12.438772352,1196750
4200,81.0,12.745254539,1206850
4300,81.0,13.055676386,1216950
4400,81.0,13.346353645,1227050
4500,81.0,13.662446601,1237150
4600,81.0,13.952233835,1247250
4700,81.0,14.246340892,1257350
4800,81.0,14.530422193,1267450
4900,81.0,14.813387268,1277550
5000,81.0,15.091412222,1287650
