iterations, fitness, time, fevals
0,45.0,0.012609827,101
100,52.0,0.014184951,201
200,64.0,0.014892899,301
300,65.0,0.015531431,401
400,71.0,0.016237908,501
500,71.0,0.017588276,601
600,73.0,0.01823721,701
700,76.0,0.01888193,801
800,76.0,0.019519717,901
900,76.0,0.021010286,1001
1000,76.0,0.022629071,1101
1100,76.0,0.023385322,1201
1200,76.0,0.024018145,1301
1300,76.0,0.024603628,1401
1400,76.0,0.02478171,1501
1500,76.0,0.035446137,1601
1600,76.0,0.035629107,1701
1700,76.0,0.035725724,1801
1800,76.0,0.035811559,1901
1900,76.0,0.035912782,2001
2000,76.0,0.036038193,2101
2100,76.0,0.036145572,2201
2200,76.0,0.036261337,2301
2300,76.0,0.03638713,2401
2400,76.0,0.036494333,2501
2500,76.0,0.036652855,2601
2600,76.0,0.037891668,2701
2700,76.0,0.03990585,2801
2800,76.0,0.040153512,2901
2900,76.0,0.040266239,3001
3000,76.0,0.050707391,3101
3100,76.0,0.050811151,3201
3200,76.0,0.05092933,3301
3300,76.0,0.051015446,3401
3400,76.0,0.051139927,3501
3500,76.0,0.051227138,3601
3600,76.0,0.051316117,3701
3700,76.0,0.051552271,3801
3800,76.0,0.051641153,3901
3900,76.0,0.051716445,4001
4000,76.0,0.0522324,4101
4100,76.0,0.052339554,4201
4200,76.0,0.052508315,4301
4300,76.0,0.05362701,4401
4400,76.0,0.053733374,4501
4500,76.0,0.053867279,4601
4600,76.0,0.053997303,4701
4700,76.0,0.05435331,4801
4800,76.0,0.054507808,4901
4900,76.0,0.054703311,5001
5000,76.0,0.055594917,5101
5100,76.0,0.055712665,5201
5200,76.0,0.05589946,5301
5300,76.0,0.055980501,5401
5400,76.0,0.056088871,5501
5500,76.0,0.056291932,5601
5600,76.0,0.056384764,5701
5700,76.0,0.056476562,5801
5800,76.0,0.056566528,5901
5900,76.0,0.056666289,6001
6000,76.0,0.056764049,6101
6100,76.0,0.057114356,6201
6200,76.0,0.057205228,6301
6300,76.0,0.057334281,6401
6400,76.0,0.057447482,6501
6500,76.0,0.057627809,6601
6600,76.0,0.057752537,6701
6700,76.0,0.057878663,6801
6800,76.0,0.057960122,6901
6900,76.0,0.058036584,7001
7000,76.0,0.058152854,7101
7100,76.0,0.058235683,7201
7200,76.0,0.058868385,7301
7300,76.0,0.05906013,7401
7400,76.0,0.059154172,7501
7500,76.0,0.059573107,7601
7600,76.0,0.059656336,7701
7700,76.0,0.059732402,7801
7800,76.0,0.060080911,7901
7900,76.0,0.060212655,8001
8000,76.0,0.060284455,8101
8100,76.0,0.060358576,8201
8200,76.0,0.060432337,8301
8300,76.0,0.06051257,8401
8400,76.0,0.060581387,8501
8500,76.0,0.062120724,8601
8600,76.0,0.062202583,8701
8700,76.0,0.06228077,8801
8800,76.0,0.062479173,8901
8900,76.0,0.06259058,9001
9000,76.0,0.062679565,9101
9100,76.0,0.06279077,9201
9200,76.0,0.062885277,9301
9300,76.0,0.063084349,9401
9400,76.0,0.063235227,9501
9500,76.0,0.063337396,9601
9600,76.0,0.06345718,9701
9700,76.0,0.063928381,9801
9800,76.0,0.064010274,9901
9900,76.0,0.064076488,10001
10000,76.0,0.064128572,10101
10100,76.0,0.064179247,10201
10200,76.0,0.064235573,10301
10300,76.0,0.064293988,10401
10400,76.0,0.064358769,10501
10500,76.0,0.064419068,10601
10600,76.0,0.064477386,10701
10700,76.0,0.064532952,10801
10800,76.0,0.064591199,10901
10900,76.0,0.064652211,11001
11000,76.0,0.064709337,11101
11100,76.0,0.064771997,11201
11200,76.0,0.064830808,11301
11300,76.0,0.064897734,11401
11400,76.0,0.064949678,11501
11500,76.0,0.064995448,11601
11600,76.0,0.065057,11701
11700,76.0,0.065145429,11801
11800,76.0,0.065206308,11901
11900,76.0,0.065261358,12001
12000,76.0,0.065321307,12101
12100,76.0,0.065382456,12201
12200,76.0,0.06544086,12301
12300,76.0,0.06550336,12401
12400,76.0,0.065565199,12501
12500,76.0,0.065648647,12601
12600,76.0,0.065716011,12701
12700,76.0,0.065873691,12801
12800,76.0,0.065932443,12901
12900,76.0,0.065990842,13001
13000,76.0,0.066044317,13101
13100,76.0,0.066101413,13201
13200,76.0,0.066158797,13301
13300,76.0,0.066234309,13401
13400,76.0,0.066289607,13501
13500,76.0,0.066402463,13601
13600,76.0,0.066555866,13701
13700,76.0,0.067263498,13801
13800,76.0,0.067464864,13901
13900,76.0,0.067903253,14001
14000,76.0,0.068031869,14101
14100,76.0,0.068148241,14201
14200,76.0,0.068369014,14301
14300,76.0,0.068481508,14401
14400,76.0,0.068648974,14501
14500,76.0,0.068983496,14601
14600,76.0,0.069117945,14701
14700,76.0,0.06925202,14801
14800,76.0,0.069368581,14901
14900,76.0,0.069484983,15001
15000,76.0,0.069595704,15101
15100,76.0,0.069816502,15201
15200,76.0,0.069962669,15301
15300,76.0,0.070072271,15401
15400,76.0,0.070170922,15501
15500,76.0,0.070297416,15601
15600,76.0,0.070427066,15701
15700,76.0,0.07054299,15801
15800,76.0,0.070942791,15901
15900,76.0,0.071081686,16001
16000,76.0,0.071191674,16101
16100,76.0,0.071296752,16201
16200,76.0,0.071533341,16301
16300,76.0,0.071733151,16401
16400,76.0,0.071843173,16501
16500,76.0,0.072007894,16601
16600,76.0,0.072138433,16701
16700,76.0,0.072253159,16801
16800,76.0,0.072371408,16901
16900,76.0,0.072614205,17001
17000,76.0,0.072788813,17101
17100,76.0,0.073400714,17201
17200,76.0,0.073515271,17301
17300,76.0,0.073661738,17401
17400,76.0,0.073788155,17501
17500,76.0,0.074398639,17601
17600,76.0,0.07461119,17701
17700,76.0,0.074709387,17801
17800,76.0,0.074800407,17901
17900,76.0,0.074961047,18001
18000,76.0,0.075080054,18101
18100,76.0,0.075328448,18201
18200,76.0,0.075426715,18301
18300,76.0,0.075595482,18401
18400,76.0,0.075790271,18501
18500,76.0,0.075890692,18601
18600,76.0,0.075982686,18701
18700,76.0,0.076281231,18801
18800,76.0,0.076459054,18901
18900,76.0,0.076621694,19001
19000,76.0,0.076752238,19101
19100,76.0,0.076946665,19201
19200,76.0,0.077088341,19301
19300,76.0,0.07724,19401
19400,76.0,0.077404316,19501
19500,76.0,0.077592461,19601
19600,76.0,0.077748539,19701
19700,76.0,0.077876013,19801
19800,76.0,0.078070831,19901
19900,76.0,0.078167025,20001
20000,76.0,0.078251457,20101
20100,76.0,0.078332835,20201
20200,76.0,0.078475379,20301
20300,76.0,0.078631731,20401
20400,76.0,0.078739775,20501
20500,76.0,0.078879871,20601
20600,76.0,0.07896598,20701
20700,76.0,0.079049157,20801
20800,76.0,0.079366471,20901
20900,76.0,0.079554205,21001
21000,76.0,0.079659477,21101
21100,76.0,0.079831164,21201
21200,76.0,0.079943611,21301
21300,76.0,0.080079942,21401
21400,76.0,0.080210466,21501
21500,76.0,0.080329585,21601
21600,76.0,0.080434777,21701
21700,76.0,0.080546035,21801
21800,76.0,0.08065166,21901
21900,76.0,0.080753118,22001
22000,76.0,0.085729688,22101
22100,76.0,0.085909069,22201
22200,76.0,0.086023318,22301
22300,76.0,0.08613004,22401
22400,76.0,0.086254474,22501
22500,76.0,0.086442167,22601
22600,76.0,0.086553312,22701
22700,76.0,0.086686715,22801
22800,76.0,0.086792706,22901
22900,76.0,0.086893,23001
23000,76.0,0.086991737,23101
23100,76.0,0.08709481,23201
23200,76.0,0.087203878,23301
23300,76.0,0.08734126,23401
23400,76.0,0.087484305,23501
23500,76.0,0.088386052,23601
23600,76.0,0.088673253,23701
23700,76.0,0.088910871,23801
23800,76.0,0.089065348,23901
23900,76.0,0.089217098,24001
24000,76.0,0.089929902,24101
24100,76.0,0.090141955,24201
24200,76.0,0.090419133,24301
24300,76.0,0.090578498,24401
24400,76.0,0.090697528,24501
24500,76.0,0.090802221,24601
24600,76.0,0.090908236,24701
24700,76.0,0.091035963,24801
24800,76.0,0.091119917,24901
24900,76.0,0.091211746,25001
25000,76.0,0.091298087,25101
25100,76.0,0.091393172,25201
25200,76.0,0.091491506,25301
25300,76.0,0.091686055,25401
25400,76.0,0.091770784,25501
25500,76.0,0.09198048,25601
25600,76.0,0.092136734,25701
25700,76.0,0.092245977,25801
25800,76.0,0.092378153,25901
25900,76.0,0.09248046,26001
26000,76.0,0.092589763,26101
26100,76.0,0.092759267,26201
26200,76.0,0.092888087,26301
26300,76.0,0.09301164,26401
26400,76.0,0.093152434,26501
26500,76.0,0.093241176,26601
26600,76.0,0.093353952,26701
26700,76.0,0.093443271,26801
26800,76.0,0.093587181,26901
26900,76.0,0.093676678,27001
27000,76.0,0.093762176,27101
27100,76.0,0.093864375,27201
27200,76.0,0.093975496,27301
27300,76.0,0.094094588,27401
27400,76.0,0.094217428,27501
27500,76.0,0.094332063,27601
27600,76.0,0.094443351,27701
27700,76.0,0.0945425,27801
27800,76.0,0.094641343,27901
27900,76.0,0.094727187,28001
28000,76.0,0.094901625,28101
28100,76.0,0.095012246,28201
28200,76.0,0.095200256,28301
28300,76.0,0.095673127,28401
28400,76.0,0.095799188,28501
28500,76.0,0.095894169,28601
28600,76.0,0.095995712,28701
28700,76.0,0.096085078,28801
28800,76.0,0.096337708,28901
28900,76.0,0.096920005,29001
29000,76.0,0.097108754,29101
29100,76.0,0.09720503,29201
29200,76.0,0.097405318,29301
29300,76.0,0.097587224,29401
29400,76.0,0.097742016,29501
29500,76.0,0.098053314,29601
29600,76.0,0.098216315,29701
29700,76.0,0.098414984,29801
29800,76.0,0.098590771,29901
29900,76.0,0.098723479,30001
30000,76.0,0.098860697,30101
30100,76.0,0.099053033,30201
30200,76.0,0.099218007,30301
30300,76.0,0.099304447,30401
30400,76.0,0.09938718,30501
30500,76.0,0.099487947,30601
30600,76.0,0.099572972,30701
30700,76.0,0.099657829,30801
30800,76.0,0.099740292,30901
30900,76.0,0.099827702,31001
31000,76.0,0.099918887,31101
31100,76.0,0.100034594,31201
31200,76.0,0.100139249,31301
31300,76.0,0.100233231,31401
31400,76.0,0.100317058,31501
31500,76.0,0.100655433,31601
31600,76.0,0.100758914,31701
31700,76.0,0.100871122,31801
31800,76.0,0.100987136,31901
31900,76.0,0.101101686,32001
32000,76.0,0.101264784,32101
32100,76.0,0.101401461,32201
32200,76.0,0.104859214,32301
32300,76.0,0.105107003,32401
32400,76.0,0.105231795,32501
32500,76.0,0.105338288,32601
32600,76.0,0.105449526,32701
32700,76.0,0.105554839,32801
32800,76.0,0.105704016,32901
32900,76.0,0.105825984,33001
33000,76.0,0.105930575,33101
33100,76.0,0.106041046,33201
33200,76.0,0.106590378,33301
33300,76.0,0.106745459,33401
33400,76.0,0.106937823,33501
33500,76.0,0.107056887,33601
33600,76.0,0.107158019,33701
33700,76.0,0.107387546,33801
33800,76.0,0.107499225,33901
33900,76.0,0.107609661,34001
34000,76.0,0.107933465,34101
34100,76.0,0.108113654,34201
34200,76.0,0.108219154,34301
34300,76.0,0.108411214,34401
34400,76.0,0.108757703,34501
34500,76.0,0.108875957,34601
34600,76.0,0.10905733,34701
34700,76.0,0.1092816,34801
34800,76.0,0.109388874,34901
34900,76.0,0.109509597,35001
35000,76.0,0.109648671,35101
35100,76.0,0.109928025,35201
35200,76.0,0.110632746,35301
35300,76.0,0.110752123,35401
35400,76.0,0.110935962,35501
35500,76.0,0.11109507,35601
35600,76.0,0.1112031,35701
35700,76.0,0.111311379,35801
35800,76.0,0.111421901,35901
35900,76.0,0.111555918,36001
36000,76.0,0.111662457,36101
36100,76.0,0.111776784,36201
36200,76.0,0.111938002,36301
36300,76.0,0.112136063,36401
36400,76.0,0.112262006,36501
36500,76.0,0.112369698,36601
36600,76.0,0.112495364,36701
36700,76.0,0.112660299,36801
36800,76.0,0.112840506,36901
36900,76.0,0.11316973,37001
37000,76.0,0.11344413,37101
37100,76.0,0.113608222,37201
37200,76.0,0.11377644,37301
37300,76.0,0.113947498,37401
37400,76.0,0.136416398,37501
37500,76.0,0.136472939,37601
37600,76.0,0.13652662,37701
37700,76.0,0.136583106,37801
37800,76.0,0.136635852,37901
37900,76.0,0.136692168,38001
38000,76.0,0.136749276,38101
38100,76.0,0.136804877,38201
38200,76.0,0.136860491,38301
38300,76.0,0.137045527,38401
38400,76.0,0.137199662,38501
38500,76.0,0.137252176,38601
38600,76.0,0.137406148,38701
38700,76.0,0.137463195,38801
38800,76.0,0.137538318,38901
38900,76.0,0.137722262,39001
39000,76.0,0.137775975,39101
39100,76.0,0.137826046,39201
39200,76.0,0.137866863,39301
39300,76.0,0.138082511,39401
39400,76.0,0.138130423,39501
39500,76.0,0.138285663,39601
39600,76.0,0.138334854,39701
39700,76.0,0.138387906,39801
39800,76.0,0.138440489,39901
39900,76.0,0.138557715,40001
40000,76.0,0.138664019,40101
40100,76.0,0.13873517,40201
40200,76.0,0.138807841,40301
40300,76.0,0.138859602,40401
40400,76.0,0.138921896,40501
40500,76.0,0.138972966,40601
40600,76.0,0.139021578,40701
