iterations,fitness,time,fevals
0,38.0,0.000135792,1000202
100,60.0,0.000573417,1000302
200,71.0,0.000698834,1000402
300,71.0,0.000840285000001,1000502
400,75.0,0.000974903000001,1000602
500,79.0,0.001047,1000702
600,79.0,0.001146129,1000802
700,84.0,0.001224715,1000902
800,90.0,0.001304791,1001002
900,90.0,0.001384252,1001102
1000,90.0,0.00146863,1001202
1100,90.0,0.001546647,1001302
1200,90.0,0.001632337,1001402
1300,90.0,0.001714637,1001502
1400,90.0,0.001790994,1001602
1500,90.0,0.001863829,1001702
1600,90.0,0.001942529,1001802
1700,90.0,0.002018969,1001902
1800,90.0,0.002103552,1002002
1900,90.0,0.002186918,1002102
2000,90.0,0.002271754,1002202
2100,90.0,0.002355483,1002302
2200,90.0,0.002427351,1002402
2300,90.0,0.002598859,1002502
2400,90.0,0.00269235,1002602
2500,90.0,0.003384135,1002702
2600,90.0,0.003553183,1002802
2700,90.0,0.003915922,1002902
2800,90.0,0.004052644,1003002
2900,90.0,0.004171102,1003102
3000,90.0,0.004294794,1003202
3100,90.0,0.004412793,1003302
3200,90.0,0.004536864,1003402
3300,90.0,0.004675565,1003502
3400,90.0,0.004839211,1003602
3500,90.0,0.005090394,1003702
3600,90.0,0.005353838,1003802
3700,90.0,0.005843019,1003902
3800,90.0,0.005972303,1004002
3900,90.0,0.006113189,1004102
4000,90.0,0.00623968,1004202
4100,90.0,0.006365799,1004302
4200,90.0,0.006663855,1004402
4300,90.0,0.006804874,1004502
4400,90.0,0.00724422,1004602
4500,90.0,0.007366993,1004702
4600,90.0,0.007620766,1004802
4700,90.0,0.007735525,1004902
4800,90.0,0.007846628,1005002
4900,90.0,0.00799846,1005102
5000,90.0,0.008112106,1005202
5100,90.0,0.008224864,1005302
5200,90.0,0.008346047,1005402
5300,90.0,0.008456149,1005502
5400,90.0,0.00861123,1005602
5500,90.0,0.008740884,1005702
5600,90.0,0.008875329,1005802
5700,90.0,0.009059652,1005902
5800,90.0,0.00918398,1006002
5900,90.0,0.009327077,1006102
6000,90.0,0.009471796,1006202
6100,90.0,0.009591774,1006302
6200,90.0,0.009693844,1006402
6300,90.0,0.010412206,1006502
6400,90.0,0.010514323,1006602
6500,90.0,0.01064484,1006702
6600,90.0,0.010743853,1006802
6700,90.0,0.010855428,1006902
6800,90.0,0.014445833,1007002
6900,90.0,0.014574843,1007102
7000,90.0,0.014682656,1007202
7100,90.0,0.014801314,1007302
7200,90.0,0.014904003,1007402
7300,90.0,0.015018865,1007502
7400,90.0,0.015159994,1007602
7500,90.0,0.015268983,1007702
7600,90.0,0.015394564,1007802
7700,90.0,0.015502191,1007902
7800,90.0,0.015629369,1008002
7900,90.0,0.015748277,1008102
8000,90.0,0.01593014,1008202
8100,90.0,0.016058918,1008302
8200,90.0,0.016191961,1008402
8300,90.0,0.016440855,1008502
8400,90.0,0.016566262,1008602
8500,90.0,0.01669092,1008702
8600,90.0,0.016802845,1008802
8700,90.0,0.01691674,1008902
8800,90.0,0.017033019,1009002
8900,91.0,0.017124389,1009102
9000,91.0,0.017238336,1009202
9100,94.0,0.017377685,1009302
9200,94.0,0.017500736,1009402
9300,94.0,0.01759872,1009502
9400,94.0,0.017715813,1009602
9500,94.0,0.017834468,1009702
9600,94.0,0.017939597,1009802
9700,94.0,0.018051731,1009902
9800,94.0,0.018162009,1010002
9900,94.0,0.018283074,1010102
10000,94.0,0.018418649,1010202
10100,94.0,0.018565803,1010302
10200,94.0,0.018694494,1010402
10300,94.0,0.018796824,1010502
10400,94.0,0.018914634,1010602
10500,94.0,0.019035309,1010702
10600,94.0,0.019134962,1010802
10700,94.0,0.019247116,1010902
10800,94.0,0.019365814,1011002
10900,94.0,0.019472492,1011102
11000,94.0,0.019590515,1011202
11100,94.0,0.019699038,1011302
11200,94.0,0.019806102,1011402
11300,94.0,0.019919982,1011502
11400,94.0,0.020036529,1011602
11500,94.0,0.020136232,1011702
11600,94.0,0.020272515,1011802
11700,94.0,0.020389342,1011902
11800,94.0,0.020516666,1012002
11900,94.0,0.020627871,1012102
12000,94.0,0.020747496,1012202
12100,94.0,0.020897576,1012302
12200,94.0,0.021054618,1012402
12300,94.0,0.021158358,1012502
12400,94.0,0.021380597,1012602
12500,94.0,0.021638187,1012702
12600,94.0,0.021746126,1012802
12700,94.0,0.021887181,1012902
12800,94.0,0.022006819,1013002
12900,94.0,0.022126966,1013102
13000,94.0,0.02225367,1013202
13100,94.0,0.022370854,1013302
13200,94.0,0.022601626,1013402
13300,94.0,0.023338375,1013502
13400,94.0,0.023467654,1013602
13500,94.0,0.023607264,1013702
13600,94.0,0.023735681,1013802
13700,94.0,0.023853593,1013902
13800,94.0,0.02398333,1014002
13900,94.0,0.024103302,1014102
14000,94.0,0.024269493,1014202
14100,94.0,0.02438255,1014302
14200,94.0,0.024506517,1014402
14300,94.0,0.024654665,1014502
14400,94.0,0.024803338,1014602
14500,94.0,0.024915573,1014702
14600,94.0,0.025024934,1014802
14700,94.0,0.02515839,1014902
14800,94.0,0.025257898,1015002
14900,94.0,0.02535998,1015102
15000,94.0,0.025470326,1015202
15100,94.0,0.025697236,1015302
15200,94.0,0.025815188,1015402
15300,94.0,0.025928894,1015502
15400,94.0,0.026022902,1015602
15500,94.0,0.026179679,1015702
15600,94.0,0.026285813,1015802
15700,94.0,0.026433186,1015902
15800,94.0,0.026557621,1016002
15900,94.0,0.026688366,1016102
16000,94.0,0.026808735,1016202
16100,94.0,0.026937488,1016302
16200,94.0,0.02711609,1016402
16300,94.0,0.027250236,1016502
16400,94.0,0.027360441,1016602
16500,94.0,0.027579573,1016702
16600,94.0,0.027684821,1016802
16700,94.0,0.027798746,1016902
16800,94.0,0.027904582,1017002
16900,94.0,0.028279434,1017102
17000,94.0,0.02837306,1017202
17100,94.0,0.02846657,1017302
17200,94.0,0.028577353,1017402
17300,94.0,0.028677194,1017502
17400,94.0,0.028786141,1017602
17500,94.0,0.028883312,1017702
17600,94.0,0.028998285,1017802
17700,94.0,0.029102228,1017902
17800,94.0,0.029211063,1018002
17900,94.0,0.029311078,1018102
18000,94.0,0.029418211,1018202
18100,94.0,0.029512284,1018302
18200,94.0,0.029622748,1018402
18300,94.0,0.029721598,1018502
18400,94.0,0.030238187,1018602
18500,94.0,0.030349612,1018702
18600,94.0,0.030444857,1018802
18700,94.0,0.030551598,1018902
18800,94.0,0.030668146,1019002
18900,94.0,0.030763729,1019102
19000,94.0,0.030867876,1019202
19100,94.0,0.030983029,1019302
19200,94.0,0.031093456,1019402
19300,94.0,0.031178425,1019502
19400,94.0,0.031291239,1019602
19500,94.0,0.031394515,1019702
19600,94.0,0.031488722,1019802
19700,94.0,0.031591125,1019902
19800,94.0,0.0316935,1020002
19900,95.0,0.031853076,1020102
20000,95.0,0.031974774,1020202
20100,95.0,0.032089447,1020302
20200,98.0,0.032220616,1020402
20300,98.0,0.032345946,1020502
20400,98.0,0.032457991,1020602
20500,98.0,0.032575103,1020702
20600,98.0,0.032683951,1020802
20700,98.0,0.032792959,1020902
20800,98.0,0.032908117,1021002
20900,98.0,0.033015703,1021102
21000,98.0,0.033130292,1021202
21100,98.0,0.033234519,1021302
21200,98.0,0.033338561,1021402
21300,98.0,0.033440328,1021502
21400,98.0,0.033548297,1021602
21500,98.0,0.033650182,1021702
21600,98.0,0.033768711,1021802
21700,98.0,0.033876059,1021902
21800,98.0,0.033985006,1022002
21900,98.0,0.03406555,1022102
22000,98.0,0.034155643,1022202
22100,98.0,0.034269116,1022302
22200,98.0,0.034379334,1022402
22300,98.0,0.034497598,1022502
22400,98.0,0.034605972,1022602
22500,98.0,0.034716482,1022702
22600,98.0,0.034811166,1022802
22700,98.0,0.034911328,1022902
22800,98.0,0.035016081,1023002
22900,98.0,0.035111977,1023102
23000,98.0,0.035229531,1023202
23100,98.0,0.035339954,1023302
23200,98.0,0.035445505,1023402
23300,98.0,0.035553666,1023502
23400,98.0,0.035662785,1023602
23500,98.0,0.035763358,1023702
23600,98.0,0.035872839,1023802
23700,98.0,0.035973215,1023902
23800,98.0,0.036076088,1024002
23900,98.0,0.036183053,1024102
24000,98.0,0.036275385,1024202
24100,98.0,0.036385048,1024302
24200,98.0,0.036490014,1024402
24300,98.0,0.036605604,1024502
24400,98.0,0.036848945,1024602
24500,98.0,0.036983007,1024702
24600,98.0,0.037097083,1024802
24700,98.0,0.037210724,1024902
24800,98.0,0.037316531,1025002
24900,98.0,0.037426274,1025102
25000,98.0,0.037548163,1025202
25100,98.0,0.037663319,1025302
25200,98.0,0.037793257,1025402
25300,98.0,0.037932581,1025502
25400,98.0,0.038032178,1025602
25500,98.0,0.038150061,1025702
25600,98.0,0.038284622,1025802
25700,98.0,0.038406303,1025902
25800,98.0,0.03985593,1026002
25900,98.0,0.040055145,1026102
26000,98.0,0.040176735,1026202
