iterations, fitness, time, fevals
0,48.0,0.004829578,101
100,49.0,0.007715554,201
200,49.0,0.008474722,301
300,49.0,0.009118743,401
400,55.0,0.009777549,501
500,57.0,0.010393687,601
600,60.0,0.011027694,701
700,60.0,0.011606099,801
800,60.0,0.012191702,901
900,60.0,0.012759699,1001
1000,60.0,0.013347243,1101
1100,60.0,0.013800284,1201
1200,60.0,0.014369697,1301
1300,60.0,0.015080285,1401
1400,60.0,0.015664651,1501
1500,60.0,0.016753017,1601
1600,60.0,0.017389011,1701
1700,60.0,0.017968631,1801
1800,60.0,0.01854636,1901
1900,60.0,0.019154591,2001
2000,60.0,0.019738831,2101
2100,60.0,0.020264417,2201
2200,60.0,0.02087795,2301
2300,60.0,0.021478473,2401
2400,60.0,0.022063947,2501
2500,60.0,0.022568286,2601
2600,60.0,0.023129046,2701
2700,60.0,0.023693665,2801
2800,60.0,0.024234946,2901
2900,60.0,0.024788775,3001
3000,60.0,0.025642412,3101
3100,60.0,0.02623313,3201
3200,60.0,0.026858842,3301
3300,60.0,0.027451309,3401
3400,60.0,0.028059459,3501
3500,60.0,0.028593101,3601
3600,60.0,0.030210213,3701
3700,60.0,0.030905443,3801
3800,60.0,0.031531922,3901
3900,60.0,0.032156041,4001
4000,60.0,0.03269861,4101
4100,60.0,0.032804878,4201
4200,60.0,0.032901014,4301
4300,60.0,0.033039071,4401
4400,60.0,0.033125208,4501
4500,60.0,0.033203557,4601
4600,60.0,0.035417345,4701
4700,60.0,0.035495992,4801
4800,60.0,0.035572666,4901
4900,60.0,0.035713801,5001
5000,60.0,0.035854094,5101
5100,60.0,0.036134211,5201
5200,60.0,0.036221029,5301
5300,60.0,0.036339511,5401
5400,60.0,0.036424677,5501
5500,60.0,0.03651689,5601
5600,60.0,0.036594647,5701
5700,60.0,0.036666976,5801
5800,60.0,0.036741013,5901
5900,60.0,0.036815585,6001
6000,60.0,0.036921527,6101
6100,60.0,0.037015473,6201
6200,60.0,0.037102485,6301
6300,60.0,0.037191725,6401
6400,60.0,0.037284186,6501
6500,60.0,0.037490992,6601
6600,60.0,0.037592777,6701
6700,60.0,0.037671805,6801
6800,60.0,0.037745288,6901
6900,60.0,0.037830079,7001
7000,60.0,0.037922809,7101
7100,60.0,0.038019489,7201
7200,60.0,0.038106343,7301
7300,60.0,0.038185309,7401
7400,60.0,0.038259675,7501
7500,60.0,0.038370711,7601
7600,60.0,0.038447281,7701
7700,60.0,0.038521066,7801
7800,60.0,0.038617712,7901
7900,60.0,0.03870376,8001
8000,60.0,0.038776377,8101
8100,60.0,0.038857417,8201
8200,60.0,0.038938915,8301
8300,60.0,0.039011641,8401
8400,60.0,0.039079226,8501
8500,60.0,0.039171653,8601
8600,60.0,0.039243056,8701
8700,60.0,0.039319303,8801
8800,60.0,0.039393748,8901
8900,60.0,0.039475293,9001
9000,60.0,0.039555747,9101
9100,60.0,0.039637675,9201
9200,60.0,0.039718588,9301
9300,60.0,0.039806225,9401
9400,60.0,0.039910173,9501
9500,60.0,0.04008883,9601
9600,60.0,0.040154638,9701
9700,60.0,0.040230136,9801
9800,60.0,0.040328173,9901
9900,60.0,0.040427784,10001
10000,60.0,0.04052709,10101
