iterations,fitness,time,fevals
0,22.0,0.000124758,20303
100,33.0,0.000414008,20403
200,34.0,0.000749662,20503
300,30.0,0.000900187,20603
400,52.0,0.003350282,20703
500,62.0,0.003647433,20803
600,69.0,0.003777843,20903
700,73.0,0.003899824,21003
800,78.0,0.004023917,21103
900,79.0,0.004183115,21203
1000,79.0,0.004327472,21303
1100,82.0,0.004482939,21403
1200,88.0,0.004620833,21503
1300,88.0,0.004748426,21603
1400,88.0,0.004878922,21703
1500,88.0,0.005013839,21803
1600,88.0,0.005347597,21903
1700,88.0,0.005590688,22003
1800,88.0,0.005844818,22103
1900,88.0,0.006042367,22203
2000,88.0,0.006251459,22303
2100,89.0,0.006571949,22403
2200,89.0,0.006797249,22503
2300,89.0,0.007009321,22603
2400,89.0,0.007259897,22703
2500,89.0,0.007467506,22803
2600,92.0,0.007731394,22903
2700,92.0,0.007961032,23003
2800,92.0,0.008281753,23103
2900,92.0,0.008848671,23203
3000,92.0,0.009303699,23303
3100,92.0,0.009506603,23403
3200,92.0,0.009837307,23503
3300,92.0,0.010065274,23603
3400,92.0,0.010293721,23703
3500,92.0,0.010508907,23803
3600,92.0,0.01085292,23903
3700,92.0,0.011076797,24003
3800,92.0,0.011333301,24103
3900,92.0,0.01156357,24203
4000,92.0,0.01178605,24303
4100,92.0,0.012072987,24403
4200,92.0,0.012288832,24503
4300,92.0,0.0127334,24603
4400,92.0,0.012961178,24703
4500,92.0,0.013208983,24803
4600,92.0,0.013693992,24903
4700,92.0,0.013960345,25003
4800,92.0,0.015270941,25103
4900,92.0,0.015487577,25203
5000,92.0,0.015701549,25303
5100,92.0,0.015913301,25403
5200,92.0,0.016141616,25503
5300,92.0,0.016415015,25603
5400,92.0,0.016675909,25703
5500,92.0,0.016938637,25803
5600,92.0,0.017164093,25903
5700,92.0,0.017415563,26003
5800,92.0,0.023562517,26103
5900,92.0,0.02384124,26203
6000,92.0,0.024239285,26303
6100,92.0,0.024457538,26403
6200,92.0,0.024853362,26503
6300,92.0,0.025084072,26603
6400,92.0,0.025305992,26703
6500,92.0,0.025554518,26803
6600,92.0,0.025814112,26903
6700,92.0,0.026043684,27003
6800,92.0,0.026297416,27103
6900,92.0,0.026614707,27203
7000,92.0,0.026840213,27303
7100,92.0,0.027057418,27403
7200,92.0,0.02727392,27503
7300,92.0,0.027492088,27603
7400,92.0,0.027722186,27703
7500,92.0,0.027926139,27803
7600,92.0,0.028161952,27903
7700,92.0,0.02837391,28003
7800,92.0,0.028588425,28103
7900,92.0,0.028795329,28203
8000,92.0,0.028997704,28303
8100,92.0,0.029222389,28403
8200,92.0,0.029413864,28503
8300,92.0,0.029603187,28603
8400,92.0,0.029816431,28703
8500,92.0,0.030005708,28803
8600,92.0,0.03019061,28903
8700,92.0,0.030389397,29003
8800,92.0,0.030658316,29103
8900,92.0,0.030896548,29203
9000,92.0,0.031106237,29303
9100,92.0,0.031354411,29403
9200,92.0,0.031560489,29503
9300,92.0,0.031767403,29603
9400,92.0,0.031983518,29703
9500,92.0,0.032181,29803
9600,92.0,0.032437495,29903
9700,92.0,0.032638403,30003
9800,92.0,0.0328668,30103
9900,92.0,0.033048092,30203
10000,92.0,0.03323249,30303
